ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_1401;T1;1401;ABRANTES;5117579,42;3268332,83;1602292,81;1029764,17;65903,57;570372,28;1179767,82;0;694081,77;338563,39;1028,5;146094,16;669478,77
T1_0101;T1;0101;ÁGUEDA;6123647,32;3878307,75;1590900,03;1611888,26;4597,24;670922,22;1947803,33;48264,96;963637,23;7576,55;746396,34;181928,25;297536,24
T1_0901;T1;0901;AGUIAR DA BEIRA;1495638,89;922666,24;407410,41;398380,33;13376,59;103498,91;463689,55;18000;8301,27;45356,14;364393,03;27639,11;109283,1
T1_0701;T1;0701;ALANDROAL;2185016,64;1387554,36;756704,96;455766,01;84952,5;90130,89;81738,94;0;816,33;11274,87;10793,59;58854,15;715723,34
T1_0102;T1;0102;ALBERGARIA-A-VELHA;2310916,58;1858954,34;1030619,99;756823,65;12539,71;58970,99;357800,77;371,95;289125,1;0;6936,96;61366,76;94161,47
T1_0801;T1;0801;ALBUFEIRA;11158672,56;8537050,27;4932255,72;2832963,88;297,91;771532,76;2621622,29;9818,03;1627610,15;303939,03;514046,75;166208,33;0
T1_1501;T1;1501;ALCÁCER DO SAL;3505210,34;2913262,86;1395512,3;971588,54;2784,1;543377,92;462665,4;0;47073,23;78749,91;283320,47;53521,79;129282,08
T1_1402;T1;1402;ALCANENA;1571060,34;1292070,28;737473,3;320046,49;33926,26;200624,23;61902,2;0;528;10283,52;2776,38;48314,3;217087,86
T1_1001;T1;1001;ALCOBAÇA;5115205,34;4164508,45;1534400,89;1810503,72;101390,05;718213,79;350720,34;125000;48808,74;1246,92;92960,14;82704,54;599976,55
T1_1502;T1;1502;ALCOCHETE;2410079,72;2169221,31;1568056,34;424867,84;16802,79;159494,34;87400,79;0;19272,02;0;1113,2;67015,57;153457,62
T1_0802;T1;0802;ALCOUTIM;1651112,99;1033918,64;600529,98;333482,87;2921,77;96984,02;477161,52;9999,55;3369,18;175775;3065,83;284951,96;140032,83
T1_1101;T1;1101;ALENQUER;4232429,52;3275927,55;2144795,96;664967,61;83403,1;382760,88;657887,59;0;344543,62;4736,85;286444,54;22162,58;298614,38
T1_0401;T1;0401;ALFÂNDEGA DA FÉ;2025521,94;1386861,67;600430,17;481356,98;203955,97;101118,55;269197,92;26587,66;18924,43;13737,79;112126,58;97821,46;369462,35
T1_1701;T1;1701;ALIJÓ;2711845,87;1620480,26;765007,66;661336,77;95687,53;98448,3;922403,37;71650,62;430228;44731,97;320352,69;55440,09;168962,24
T1_0803;T1;0803;ALJEZUR;1744329,31;1396423,36;686235,43;515201,52;10281,12;184705,29;233905,6;20000;52708,74;4831,09;79224,55;77141,22;114000,35
T1_0201;T1;0201;ALJUSTREL;2105988,74;1703164,91;742204,39;689608,79;20651,3;250700,43;295666,63;21650;23725,6;53321,41;82713,26;114256,36;107157,2
T1_1503;T1;1503;ALMADA;12355607,65;11000410,96;5752952,09;3477796,4;156698,54;1612963,93;895558,2;0;197298,59;153867,45;66340,18;478051,98;459638,49
T1_0902;T1;0902;ALMEIDA;3193175,61;2149483,01;553078,45;1105061,89;58779,8;432562,87;888158,13;4218;0;72158,02;462301,88;349480,23;155534,47
T1_1403;T1;1403;ALMEIRIM;3619536,07;2547048,85;1132738,54;1036081,83;23776,3;354452,18;933421,69;47121,1;697008,84;10912;145302,71;33077,04;139065,53
T1_0202;T1;0202;ALMODÔVAR;2362141,71;1648245,56;931845,46;485292,85;23221,63;207885,62;567974,35;0;55293,46;70121,49;366357,76;76201,64;145921,8
T1_1404;T1;1404;ALPIARÇA;1617558,68;1032620,26;688595,02;267447,48;31522,2;45055,56;393740,52;0;84013;13147,49;14353,79;282226,24;191197,9
T1_1201;T1;1201;ALTER DO CHÃO;1533277,07;1164711,52;585469,49;437297,41;7653,24;134291,38;226538,69;65011,85;2504,7;19950,61;29890,85;109180,68;142026,86
T1_1002;T1;1002;ALVAIÁZERE;1614895,49;823972,5;362614,99;414723,49;5556,69;41077,33;720852,83;771,52;114814,58;91760;227143,67;286363,06;70070,16
T1_0203;T1;0203;ALVITO;961242,4;667531,99;461952,84;148053,61;4328,45;53197,09;228235,71;0;2322,37;59000,33;125373,41;41539,6;65474,7
T1_1115;T1;1115;AMADORA;16435809,83;14981384,09;5932467,81;5802295,82;27763,85;3218856,61;985422,85;0;286880,47;263046,39;12714,59;422781,4;469002,89
T1_1301;T1;1301;AMARANTE;7052134,32;5164505,62;2154945,96;2328863,29;49312,01;631384,36;1141183,14;115961;54361,91;482346,44;381632,47;106881,32;746445,56
T1_0301;T1;0301;AMARES;2661602,1;1570140,38;860629,58;494920,98;53512,05;161077,77;655223,8;0;237362,71;61176,58;287279,55;69404,96;436237,92
T1_0103;T1;0103;ANADIA;2560890,95;1904059,82;801144,16;911850,11;1866,44;189199,11;507923,61;32465;76173,06;44121,31;210092,93;145071,31;148907,52
T1_4301;T1;4301;ANGRA DO HEROÍSMO;4905161,44;2048442,08;907058,18;563568,87;37516,37;540298,66;1001495,76;543434,4;151361,43;29141;201932,65;75626,28;1855223,6
