ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_1202;T1;1202;ARRONCHES;1071607,32;824054,45;379945,51;301212,52;3041,53;139854,89;194370,89;31608,7;21543,73;159,2;6505,07;134554,19;53181,98
T1_1102;T1;1102;ARRUDA DOS VINHOS;3737123,89;3124263,14;859351,67;2035140,9;15325,74;214444,83;486562,41;0;238989,04;11439,38;178562,11;57571,88;126298,34
T1_0105;T1;0105;AVEIRO;7509616,11;5098715,68;2574554,78;1143889,1;256649,45;1123622,35;1434407,58;601432,4;215592,89;82911,09;118142,51;416328,69;976492,85
T1_1203;T1;1203;AVIS;1984093,82;1346216,89;782001,24;379383,63;21376,87;163455,15;277396,02;0;5265,37;18200,08;37486,09;216444,48;360480,91
T1_1103;T1;1103;AZAMBUJA;2856103,29;2300780,34;1367161,15;744705,71;26436,41;162477,07;110729,51;0;7720,75;59042,7;18462,39;25503,67;444593,44
T1_1302;T1;1302;BAIÃO;3697247,48;2306819,15;1169670,48;956507,06;14989,13;165652,48;1101499,16;105161;333191,33;399892,37;196015,78;67238,68;288929,17
T1_0302;T1;0302;BARCELOS;11860430,65;7591650,61;2966453,89;2730617,73;1822,75;1892756,24;1826108,52;154,68;988773,37;10907,4;161967,15;664305,92;2442671,52
T1_0204;T1;0204;BARRANCOS;878525,63;705262,03;456824,83;99616,94;21632,15;127188,11;37915,04;1127,5;173,63;0;3505,42;33108,49;135348,56
T1_1504;T1;1504;BARREIRO;7079380,35;6019164,21;3479268,72;1673613,83;24892,9;841388,76;281184,96;6926,92;43672,98;60311,74;91595,47;78677,85;779031,18
T1_1004;T1;1004;BATALHA;1866461,18;1595428,77;426623,8;1000001,42;7000,44;161803,11;228378,04;0;106297,92;10750,31;81049,37;30280,44;42654,37
T1_0205;T1;0205;BEJA;4427834,72;3532393,03;1951002,78;1033133,49;20712,1;527544,66;606422,14;886,4;64668,58;3319,8;76931,58;460615,78;289019,55
T1_0501;T1;0501;BELMONTE;1354300,17;883653,88;229398,42;518748,31;8948,13;126559,02;345482,89;0;213904,2;1168,5;70977,91;59432,28;125163,4
T1_1405;T1;1405;BENAVENTE;2737523,36;2417305,88;1425598,84;731708,23;5697,3;254301,51;40862,79;11393,21;28997,21;0;0;472,37;279354,69
T1_1005;T1;1005;BOMBARRAL;2405988,34;1650896,05;787167,95;741616,39;46045,83;76065,88;589670,67;0;442824,24;63603,73;41896,55;41346,15;165421,62
