ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
A_1401;A;1401;ABRANTES;21878100.04;15709721.45;7110002.5;4831879.5;112063.79;3655775.66;3927510.1;670107.67;1986471.49;241851.46;326049.74;703029.74;2240868.49
A_0101;A;0101;ÁGUEDA;29560469.85;17557735.94;7619550.9;7063938.66;47981.12;2826265.26;9939533.18;1133785.69;4467093.52;561985.45;1115340.22;2661328.3;2063200.73
A_0901;A;0901;AGUIAR DA BEIRA;7938938.15;4748863.71;1933847.78;2243156.82;29803.99;542055.12;2736278.7;95194.25;45996.55;745192.79;1610176.48;239718.63;453795.74
A_0701;A;0701;ALANDROAL;9097885.58;6583395.7;3056689.57;2463892.21;393583.48;669230.44;1937604.7;0;54934.52;572321.06;871657.82;438691.3;576885.18
A_0102;A;0102;ALBERGARIA-A-VELHA;13715156.82;10148472.74;4010681.56;4978556.05;31468.74;1127766.39;2410570.83;465459.62;131554.77;0;880529.54;933026.9;1156113.25
A_0801;A;0801;ALBUFEIRA;59662599.56;49153157.52;19859464;23415486.54;268713.83;5609493.15;3593335.31;261995.91;246732.45;227034.05;1252393.71;1605179.19;6916106.73
A_1501;A;1501;ALCÁCER DO SAL;16255677.9;13752367.2;7183465;5022492.24;8590.72;1537819.24;2152917.65;30000;897450.26;158451.5;118078.76;948937.13;350393.05
A_1402;A;1402;ALCANENA;21999024.15;7633468.02;2984116.72;3409946.9;239454.99;999949.41;7729179.04;102899.78;174209.53;6418899.4;159322.05;873848.28;6636377.09
A_1001;A;1001;ALCOBAÇA;29894261.46;19197101.48;6564823.91;9787705.3;120111.04;2724461.23;4337528.96;38580.75;166969.88;146874.47;2416230.44;1568873.42;6359631.02
A_1502;A;1502;ALCOCHETE;14074225.15;12103671.66;6832560.6;4079703.79;69947.78;1121459.49;988294.65;0;45250.25;34837.1;190692.19;717515.11;982258.84
A_0802;A;0802;ALCOUTIM;7934234.29;5781769.65;2786791.99;1990306.51;23638.23;981032.92;1744099.11;237502.92;0;174053.09;328902.04;1003641.06;408365.53
A_1101;A;1101;ALENQUER;23198353.99;17936476.66;9422308.65;5680394.22;241101.14;2592672.65;3150115.7;1322073.99;461424.05;19366.07;1055895.2;291356.39;2111761.63
A_0401;A;0401;ALFÂNDEGA DA FÉ;20855507.06;6499730.13;2715424.26;2205923.41;790985.92;787396.54;1384485.23;25000;153862.48;82868.96;88057.69;1034696.1;12971291.7
A_1701;A;1701;ALIJÓ;13983696.26;8460996.75;2779246.42;4599548.44;846016.38;236185.51;2640465.76;30000;279141.3;235950.39;1245458.14;849915.93;2882233.75
A_0803;A;0803;ALJEZUR;9876827.13;7704620.55;3121481.65;3291516.13;38127.13;1253495.64;1126949.58;49938.99;21571.12;130047.92;304147.83;621243.72;1045257
A_0201;A;0201;ALJUSTREL;10352728.59;7479556.51;3463146.4;2898380.79;74665.09;1043364.23;1484617.77;0;16056.23;555297.74;178303.58;734960.22;1388554.31
