ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T1_1401;T1;1401;ABRANTES;4594378.99;3043722;29054.67;685735.44;77565.74;351706.45;125671.37;0;130791.88;551927.27;283939.61
T1_0101;T1;0101;ÁGUEDA;5226347.4;2537597;0;964892.06;144585.37;448721.06;179349.57;7499.66;184736.4;1131089.91;592768.43
T1_0901;T1;0901;AGUIAR DA BEIRA;1496275.02;1327853;833.54;44218.71;9457.08;7429.73;9880.58;0;17451.32;111236.89;12132.88
T1_0701;T1;0701;ALANDROAL;1831347.29;1488702;5129.48;61109.63;4942.95;32127.75;14666.43;5426.8;3945.7;153829.21;122576.97
T1_0102;T1;0102;ALBERGARIA-A-VELHA;3119344;1565703;568365.14;445727.65;36809.49;248244.24;91251.48;32739.68;36682.76;424827.36;114720.85
T1_0801;T1;0801;ALBUFEIRA;12287223.48;1244578;406138.84;4153989.05;794938.27;2829274.12;214388.63;0;315388.03;3359839.7;3122677.89
T1_1501;T1;1501;ALCÁCER DO SAL;3534707.63;2513913;314118.58;322497.35;35214.54;117203.89;41573.49;41719.56;86785.87;282279.24;101899.46
T1_1402;T1;1402;ALCANENA;1929646.21;1266258;34403.88;191979.99;13366.6;60715.2;49651.02;22914.26;45332.91;298603.81;138400.53
T1_1001;T1;1001;ALCOBAÇA;4921425.31;2990361;0;1282160.33;155006.74;584216.59;209036.57;33673.46;300226.97;388247.65;260656.33
T1_1502;T1;1502;ALCOCHETE;2217676.52;741608;8264.26;1034759.14;312313.3;426090.16;66345.78;52675.82;177334.08;392981.71;40063.41
T1_0802;T1;0802;ALCOUTIM;2386581.07;1580532;548930.06;22070.36;4466.53;6439.51;7291.99;0;3872.33;110842.65;124206
T1_1101;T1;1101;ALENQUER;4755082.89;1715197;291649.59;1435108.53;119550.87;866631.08;151496.74;43550.44;253879.4;392628.3;920499.47
T1_0401;T1;0401;ALFÂNDEGA DA FÉ;1540906.98;1433244;0;26167.54;394.5;3175.05;4910.68;0;17687.31;46151.74;35343.7
T1_1701;T1;1701;ALIJÓ;2189762.48;1719280;408.23;126153.16;10523.9;44680.7;30658.73;6409.57;33880.26;279429.97;64491.12
T1_0803;T1;0803;ALJEZUR;2104155.77;1291674;0;251514.26;42411.49;142691.74;20744.77;0;45666.26;325247.69;235719.82
T1_0201;T1;0201;ALJUSTREL;2560512.18;1498506;515055.6;162660.34;15812.71;44621.41;29526.64;36600.59;36098.99;314233.33;70056.91
T1_1503;T1;1503;ALMADA;17626166.73;4435560;0;4880739.59;624206.88;2689655;603117.54;275329.59;688430.58;2302449.71;6007417.43
T1_0902;T1;0902;ALMEIDA;2952453.69;1931208;118089.6;80066.26;2242.1;30306.57;20735.13;0;26782.46;276027.16;547062.67
T1_1403;T1;1403;ALMEIRIM;4228419.86;1436397;525050.51;416460.61;36764.51;218070.81;73146.87;20242.26;68236.16;366965.04;1483546.7
T1_0202;T1;0202;ALMODÔVAR;2713168.78;2153988;0;146662.53;1367.89;41571.29;23269.56;8090.7;72363.09;186339.73;226178.52
T1_1404;T1;1404;ALPIARÇA;1327749.54;843147;0;141108.25;19051.57;73896.23;22397.74;3590.94;22171.77;172026.89;171467.4
T1_1201;T1;1201;ALTER DO CHÃO;1303430.45;1088322;2812.7;49004.63;8673.25;3644.15;3058.58;7260.32;26368.33;117090.34;46200.78
T1_1002;T1;1002;ALVAIÁZERE;1768945.94;1191513;71950.86;78325.67;15637.64;22432.34;16154.77;0;24100.92;180768.44;246387.97
T1_0203;T1;0203;ALVITO;1032742.61;839199;31731.63;17968.4;1729.1;4752.82;5800.2;0;5686.28;89853.05;53990.53
T1_1115;T1;1115;AMADORA;10142883.89;3423632;0;1700767.62;688323.5;103336.77;385448.42;0;523658.93;3079040.81;1939443.46
T1_1301;T1;1301;AMARANTE;6965563.13;3684768;751073;795316.37;52854.94;235281.57;159368.03;0;347811.83;1235370.16;499035.6
T1_0301;T1;0301;AMARES;3014122.59;1460196;627300.75;264726.77;16635.44;122746.46;61200.91;0;64143.96;330965.38;330933.69
T1_0103;T1;0103;ANADIA;3961012.95;2201877;724715.73;453128.03;31288.75;196019.59;104402.96;50566.33;70850.4;354752.57;226539.62
T1_4301;T1;4301;ANGRA DO HEROÍSMO;4557668.63;2381567;741737.21;719188.82;63935.34;401518.69;136679.42;0;117055.37;311078.7;404096.9
T1_1003;T1;1003;ANSIÃO;2114751.74;1343055;128529.88;268811.85;16391.09;66382.93;37792.37;0;148245.46;266117.39;108237.62
T1_1601;T1;1601;ARCOS DE VALDEVEZ;4980004.61;2813040;184703.02;278164.7;28821.22;86254.1;61694.87;0;101394.51;702255.79;1001841.1
T1_0601;T1;0601;ARGANIL;2178741.67;1648200;5498.77;167842.4;12782.5;47518.44;33607.61;0;73933.85;234083.03;123117.47
T1_1801;T1;1801;ARMAMAR;2193444.13;1213308;0;108838.43;5334;25940.29;17442.81;5095.48;55025.85;272560.33;598737.37
T1_0104;T1;0104;AROUCA;3829282.14;2187744;695726.59;258080.58;24903.23;118842.55;61834.36;13795.11;38705.33;430976.36;256754.61
T1_0702;T1;0702;ARRAIOLOS;2375146.14;1637931;194124.46;74644.65;1502.68;32721.08;20614.42;7678.89;12127.58;265742.38;202703.65
T1_1202;T1;1202;ARRONCHES;1622776.17;1015389;27341.92;10672.39;3909.99;471.2;5061.38;0;1229.82;127255.2;442117.66
T1_1102;T1;1102;ARRUDA DOS VINHOS;2865102.43;925968;58128.58;431972.68;21275.91;241251.66;49218.17;12642.81;107584.13;505073.38;943959.79
T1_0105;T1;0105;AVEIRO;6016772.08;2311887;27089.3;2639955.33;129912.88;1123696.21;351220.77;0;1035125.47;440532.34;597308.11
T1_1203;T1;1203;AVIS;2454111.88;1364548;0;47714.83;4263.48;7408.11;13687.18;3334.46;19021.6;153478.53;888370.52
