ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_1401;T1;1401;ABRANTES;4949754.52;3553330.28;1642254.18;1312212.34;76007.67;522856.09;942146.57;25423.98;553008.3;15344.58;142997.04;205372.67;454277.67
T1_0101;T1;0101;ÁGUEDA;5375824.91;4143552.91;1866327.74;1721711.86;227.27;555286.04;1018909;24339.25;8388.53;75639.89;466071.98;444469.35;213363
T1_0901;T1;0901;AGUIAR DA BEIRA;1180459.93;833542.08;416192.54;317188.87;17011.05;83149.62;203280.46;7500;7114.3;43893.69;140261;4511.47;143637.39
T1_0701;T1;0701;ALANDROAL;1446648.23;1282139.29;868135.16;321254.17;39158.1;53591.86;101626.75;0;9520.23;41089.12;27227.62;23789.78;62882.19
T1_0102;T1;0102;ALBERGARIA-A-VELHA;2929747.17;1981164.09;1046928.94;828823.78;7785.94;97625.43;878073.94;0;224659.33;34950.71;516496.12;101967.78;70509.14
T1_0801;T1;0801;ALBUFEIRA;12246105.71;10641034.42;5219338.56;4547836.51;27970.25;845889.1;1576730.67;0;362416.69;328284.63;621574.65;264454.7;28340.62
T1_1501;T1;1501;ALCÁCER DO SAL;3476135.37;2538462.35;1471036.88;752416.9;3616.97;311391.6;808944.69;1049.89;409930.54;51270.91;289395.12;57298.23;128728.33
T1_1402;T1;1402;ALCANENA;1709928.29;1336000.28;687988.97;408350.43;30897.5;208763.38;148409.57;22586.91;636.94;2236.6;40535.99;82413.13;225518.44
T1_1001;T1;1001;ALCOBAÇA;4738067.58;3397734.62;1615895.81;1111992.05;47364.46;622482.3;742801.05;178500;28248.4;4801.44;248125.52;283125.69;597531.91
T1_1502;T1;1502;ALCOCHETE;2854301.87;2425237.07;1598869.4;602380.9;7209.77;216777;348733.91;0;156837.03;25973.2;81556.76;84366.92;80330.89
T1_0802;T1;0802;ALCOUTIM;1598618.97;1105783.17;608686.91;315912.99;7597.49;173585.78;301385.09;12084.23;26579.44;40041.8;131660.51;91019.11;191450.71
T1_1101;T1;1101;ALENQUER;4713864.72;3487611.39;2004131.16;818925.84;64056.65;600497.74;927779.54;0;782323.36;0;119645.45;25810.73;298473.79
T1_0401;T1;0401;ALFÂNDEGA DA FÉ;1549800.07;1233421;612895.65;343102.59;43441.9;233980.86;133253.08;9800;32556.13;14098.46;43713.93;33084.56;183125.99
T1_1701;T1;1701;ALIJÓ;2332984.96;1631187.92;839882.45;658796.38;9687.5;122821.59;689297.04;33403;144214.08;87173.01;313155.11;111351.84;12500
T1_0803;T1;0803;ALJEZUR;1958682.34;1492297.65;698583.6;466321.68;26979.66;300412.71;185435.67;27837.5;63388.03;1261.16;74113.63;18835.35;280949.02
T1_0201;T1;0201;ALJUSTREL;2629668.11;1703573.77;739279.32;617720.25;22730.92;323843.28;823319.9;3423.56;10651.97;138276.72;588957.44;82010.21;102774.44
T1_1503;T1;1503;ALMADA;16507702.97;13434403.6;6769148.89;4308044.07;74959.07;2282251.57;1631637.23;6308.29;126436.25;133933.98;1085959.41;278999.3;1441662.14
T1_0902;T1;0902;ALMEIDA;3120077.5;2037487.05;622244.17;894945.27;36090.01;484207.6;819990.34;11552.42;185083.89;83626.47;124616.23;415111.33;262600.11
T1_1403;T1;1403;ALMEIRIM;4572166.39;2662668.14;1227697.54;1121093.04;38011.91;275865.65;1822265.98;0;1012323.93;40078.62;666718.56;103144.87;87232.27
T1_0202;T1;0202;ALMODÔVAR;2321629.92;1690111.14;928541.85;533472.63;22652.82;205443.84;453446.89;1670;3254.4;0;353308.38;95214.11;178071.89
T1_1404;T1;1404;ALPIARÇA;1363670.49;1043426.69;683554.49;303701.01;26873.71;29297.48;136232.32;0;66817.37;4770.96;17766;46877.99;184011.48
T1_1201;T1;1201;ALTER DO CHÃO;1332208.48;1022558.64;597765.5;362472.98;514.64;61805.52;295442.57;34101.32;2899.61;7002.2;201812.9;49626.54;14207.27
T1_1002;T1;1002;ALVAIÁZERE;2097029.86;974631.13;413445.64;482976.65;5220.09;72988.75;986953.29;121203.6;130955.2;184200.99;361275.01;189318.49;135445.44
T1_0203;T1;0203;ALVITO;945620.94;657870.91;444363.83;138284.63;6052.07;69170.38;197769.05;0;5864.47;5295.14;1741.59;184867.85;89980.98
