ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T1_1401;T1;1401;ABRANTES;6253442.89;2772438;1258502.94;514385.05;94877.12;165069.72;156780.39;0;97657.82;1274811.22;433305.68
T1_0101;T1;0101;ÁGUEDA;5375684.7;2351181;609025.84;1159616.15;125843.88;549135.2;170538.9;28186.08;285912.09;613280.92;642580.79
T1_0901;T1;0901;AGUIAR DA BEIRA;2202370.41;1238703;211988.54;29547.52;3033.53;6217.48;5218.39;0;15078.12;151208.17;570923.18
T1_0701;T1;0701;ALANDROAL;2080767.68;1357305;265492.64;70134.22;8798.88;36607.52;17450.23;2947.21;4330.38;210936.97;176898.85
T1_0102;T1;0102;ALBERGARIA-A-VELHA;3251011.02;1427562;922650.71;357475.75;53677.54;108887.64;113476.11;9408.57;72025.89;396913.32;146409.24
T1_0801;T1;0801;ALBUFEIRA;9753379.66;1081557;-1237.17;3312170.17;818432.09;1726089.72;270398.44;0;497249.92;4595408.56;765481.1
T1_1501;T1;1501;ALCÁCER DO SAL;3390652.04;2278710;44677.88;479973.97;19797.09;268014.77;51434.51;33239.93;107487.67;468580.53;118709.66
T1_1402;T1;1402;ALCANENA;2157531.33;1166271;230544.96;309884.15;31572.25;105144.78;62419.94;64819;45928.18;260464.68;190366.54
T1_1001;T1;1001;ALCOBAÇA;5530826.81;2681910;321484.45;1367983.76;176169.12;607998.2;292925.4;30817.22;260073.82;319767.28;839681.32
T1_1502;T1;1502;ALCOCHETE;2553931.24;677061.6;417801.7;763063.06;84422.73;239002.72;85225.46;211098.69;143313.46;453816.19;242188.69
T1_0802;T1;0802;ALCOUTIM;2268521.51;1440243;550108.07;27115.09;3120.93;7872.68;9515.47;0;6606.01;106747.19;144308.16
T1_1101;T1;1101;ALENQUER;4380658.02;1631264.19;618707.16;807583.83;168705.34;300933.72;188480.57;18198.34;131265.86;292927.12;1030175.72
T1_0401;T1;0401;ALFÂNDEGA DA FÉ;1966136.25;1330560.55;157475.91;98921.57;3498.73;40125.56;15170.93;2483.77;37642.58;113041.07;266137.15
T1_1701;T1;1701;ALIJÓ;2236144.16;1412841;242765.3;148865.56;0;55209.92;42407.88;7859.9;43387.86;350724.88;80947.42
