ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T1_1401;T1;1401;ABRANTES;5057223.06;2921028;220882.02;792570.08;85801.03;263841.56;142098.36;154130.18;146698.95;746144.74;376598.22
T1_0101;T1;0101;ÁGUEDA;5593596.23;2435111;1062886.72;1031646.49;69426.64;580016.65;201636.14;3161.41;177405.65;264255.86;799696.16
T1_0901;T1;0901;AGUIAR DA BEIRA;1183424.63;869276;0;27903.71;1793.51;2475.96;5126.91;0;18507.33;247060.89;39184.03
T1_0701;T1;0701;ALANDROAL;2312930.98;1289682;15485.85;85283.09;4082.7;59261.09;17555.12;311.74;4072.44;191862.61;730617.43
T1_0102;T1;0102;ALBERGARIA-A-VELHA;3135619.33;1502661;101581.95;551958.26;33744.42;172679.43;100921.48;124663.76;119949.17;485030.74;494387.38
T1_0801;T1;0801;ALBUFEIRA;10796909.33;767566;0;3512748.88;785714.51;2052343.18;237711.24;0;436979.95;4148933.57;2367660.88
T1_1501;T1;1501;ALCÁCER DO SAL;3845724.49;2400357;6959.02;738466.64;20476.23;231823.18;46685.9;2284.19;437197.14;389429.71;310512.12
T1_1402;T1;1402;ALCANENA;1713247.1;1104927;0;259519.12;20257.09;128579.23;55226.12;0;55456.68;228943.55;119857.43
T1_1001;T1;1001;ALCOBAÇA;5310599.2;2869962;28336.7;1561063.51;127137.91;882247.02;246394.82;1207.38;304076.38;336199.04;515037.95
T1_1502;T1;1502;ALCOCHETE;2189382.56;720114.6;8045.69;717898.35;58862.69;295240.4;75416.75;27764.16;260614.35;587087.85;156236.07
T1_0802;T1;0802;ALCOUTIM;2682157.24;1517808;938414.17;23299.52;3441.95;3722.14;7127.15;0;9008.28;98992.32;103643.23
T1_1101;T1;1101;ALENQUER;4641695.66;1782368;371697.49;905903.89;95243.6;416675.79;172645.53;0;221338.97;434661.43;1147064.85
T1_0401;T1;0401;ALFÂNDEGA DA FÉ;2009107.91;1394440;24491.35;59166.82;2043.03;17024.69;10104.41;0;29994.69;107421.02;423588.72
T1_1701;T1;1701;ALIJÓ;2722685.59;1447486;625904.51;283871.98;6785.32;209552.73;33319.57;0;34214.36;229702.19;135720.91
T1_0803;T1;0803;ALJEZUR;1845272.4;1154715;12731.15;331695.98;51756.7;206586.24;23839.19;0;49513.85;313746.75;32383.52
T1_0201;T1;0201;ALJUSTREL;1934679.53;1438173;25200;230319.04;7258.6;164226.39;33261.75;0;25572.3;142857.77;98129.72
T1_1503;T1;1503;ALMADA;14342137.1;4256979;92014.99;4214920.16;498077.78;2403263.66;664297.4;0;649281.32;2169234.53;3608988.42
T1_0902;T1;0902;ALMEIDA;3058987.96;1833513;1725.24;178761.93;1837.83;32328.29;24707.39;0;119888.42;344667.2;700320.59
T1_1403;T1;1403;ALMEIRIM;3549497.18;1377372.33;812582.97;300629.78;31860.22;123025.1;85075.29;1093.97;59575.2;391575.65;667336.45
T1_0202;T1;0202;ALMODÔVAR;2927621.82;2069271;88901.29;121836.52;1750.42;28458.68;26511.15;0;65116.27;194616.06;452996.95
T1_1404;T1;1404;ALPIARÇA;1514873.17;809202;207841.88;154572.62;15231.49;74442.88;26226.3;2914.04;35757.91;151466.8;191789.87
T1_1201;T1;1201;ALTER DO CHÃO;1486164.1;1037933;184453.26;75332.93;6384.52;24600.69;13499.34;589.43;30258.95;124393.2;64051.71
T1_1002;T1;1002;ALVAIÁZERE;1638381.16;1143593;4781.73;84772.13;5945.88;31284.9;25806.31;0;21735.04;212590.26;192644.04
T1_0203;T1;0203;ALVITO;1170850.55;805410;214480.71;27938.69;2775.7;14232.56;6759.69;0;4170.74;83211.21;39809.94
T1_1115;T1;1115;AMADORA;12821617.72;4986930;127328.72;2868639.93;478749.61;1123922.23;692863.02;125251.47;447853.6;2045197.18;2793521.89
T1_1301;T1;1301;AMARANTE;8070052.66;3621480;311697.38;1053506.19;49752.84;441371.34;189873.81;0;372508.2;1792032.67;1291336.42
T1_0301;T1;0301;AMARES;2781428.36;1401408;386235.73;238216.72;14336.74;83527.13;68633.96;0;71718.89;306801.19;448766.72
T1_0103;T1;0103;ANADIA;2925408.94;2113227;0;317382.04;22258.51;128200.53;78097.74;16080.13;72745.13;342692.88;152107.02
T1_4301;T1;4301;ANGRA DO HEROÍSMO;5581800.23;2252866;1822389.18;541351.74;24273.82;241161.59;154973.08;0;120943.25;176414.67;788778.64
T1_1003;T1;1003;ANSIÃO;3503226.94;1316586.42;926990.06;269792.07;20887.76;87740.33;42610.33;0;118553.65;315664.27;674194.12
T1_1601;T1;1601;ARCOS DE VALDEVEZ;4985790.7;2692812;613109.06;321113.35;17225.48;129741.18;73553.55;0;100593.14;857899.46;500856.83
