ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T3_0118;T3;0118;VAGOS;9626798.9;4039180.5;654350.59;3090156.46;1947437.29;370024.61;452957.49;132130.6;187606.47;834124.06;1008987.29
T3_0119;T3;0119;VALE DE CAMBRA;10950847.64;4670739;659944.32;3090099.69;1751508.81;137278.87;386653.81;468629.38;346028.82;1797976.69;732087.94
T3_1608;T3;1608;VALENÇA;11118164.94;3941829;1672681.4;2244037.81;1197171.99;148891.83;270595.4;101362.58;526016.01;1667154.41;1592462.32
T3_1315;T3;1315;VALONGO;23253679.69;6838596;636183.98;10965586.05;6309255.44;1177111.81;1435109.04;1462432.41;581677.35;3856376.42;956937.24
T3_1712;T3;1712;VALPAÇOS;11539879.86;6705612;343517.76;1681047.03;1013757.1;116921.48;227650.74;0;322717.71;2110642.06;699061.01
T3_4502;T3;4502;VELAS;4247172.96;2776698;327198.23;433194.57;251305.88;52960.58;90484.19;0;38443.92;420851.46;289230.7
T3_0712;T3;0712;VENDAS NOVAS;5633074.28;2577105;158874.85;1478360.67;853628.46;84011.59;185838.14;94765.69;260116.79;1238070.51;180663.25
T3_0713;T3;0713;VIANA DO ALENTEJO;4775155.87;2971890;335276.27;542952.19;309093.96;103798.43;78890.05;15776.28;35393.47;623619.91;301417.5
T3_1609;T3;1609;VIANA DO CASTELO;37255023.17;10602963;2600590.65;13968616.22;8024863.18;1139523.75;1555910.38;2430371.41;817947.5;2870377.32;7212475.98
T3_0214;T3;0214;VIDIGUEIRA;5486060.08;2863548;397978.05;670163.91;337383.5;178596.53;87331.18;17312.69;49540.01;906267.11;648103.01
T3_0311;T3;0311;VIEIRA DO MINHO;9501848.65;4199221.5;725634.37;1129737.78;669322.34;116052.37;196460.4;50423.05;97479.62;1285629.48;2161625.52
T3_0510;T3;0510;VILA DE REI;3940422.42;2657925;139373.12;372225.02;248981.86;21018.19;37388.56;5013.45;59822.96;241992.47;528906.81
T3_0815;T3;0815;VILA DO BISPO;7709307.77;2208330;322509.28;2807651.15;1358419.04;1234791.89;122039.03;0;92401.19;1974829.88;395987.46
T3_1316;T3;1316;VILA DO CONDE;34460427.6;6697188;1541646.17;17614129.72;9783679.58;3099373.47;1341237.46;2072501.91;1317337.3;4603831.83;4003631.88
T3_4101;T3;4101;VILA DO PORTO;4278427.18;2698047;759449.33;487718.05;321419.27;40408.28;97587.93;0;28302.57;300567.64;32645.16
T3_0410;T3;0410;VILA FLOR;5435069.17;3896770;55231.47;418188.95;321871.28;0;59235.87;0;37081.8;654563.8;410314.95
T3_1114;T3;1114;VILA FRANCA DE XIRA;45232888.91;9515538;5267713.22;20448022.01;10017560.12;3673811.21;2235099.5;2000274.23;2521276.95;7692537.25;2309078.43
T3_4206;T3;4206;VILA FRANCA DO CAMPO;6278260.2;3105117;704629.36;1330581.89;824141.37;169199.35;106302.64;47631.54;183306.99;940632.05;197299.9
T3_1420;T3;1420;VILA NOVA DA BARQUINHA;5745774.94;2228847;556057.44;1053236.88;418364.93;99830.07;124406.19;12564.35;398071.34;688029.79;1219603.83
T3_1610;T3;1610;VILA NOVA DE CERVEIRA;8260851.98;4191417;290585.37;1996503.43;871601.74;103746.19;177566.77;198768.04;644820.69;990271.59;792074.59
T3_0312;T3;0312;VILA NOVA DE FAMALICÃO;55277802.06;13651812;1303583.52;22389709.76;9713097.1;2259245.65;2374283.77;6754338.94;1288744.3;11918186.52;6014510.26
T3_0914;T3;0914;VILA NOVA DE FOZ CÔA;7983013.64;4138920;155199.73;735479.1;473442.74;105180.86;96177.52;0;60677.98;1563859.09;1389555.72
T3_1317;T3;1317;VILA NOVA DE GAIA;94670139.75;19191879;3787201.95;45366674.98;29320495.21;4739192.57;5748464.6;4226248.73;1332273.87;7279692.72;19044691.1
T3_1822;T3;1822;VILA NOVA DE PAIVA;4529817.68;2730820;414576.99;754283.44;448141.82;23917.35;70451.01;0;211773.26;262651.78;367485.47
T3_0617;T3;0617;VILA NOVA DE POIARES;4482586.77;2409481;21648.87;1179688.57;758857.51;55400.69;122623.72;42121.75;200684.9;520074.22;351694.11
T3_1713;T3;1713;VILA POUCA DE AGUIAR;15126678.24;5310983;3978174.24;2601402.07;755015.44;122559.25;204294.51;451716.54;1067816.33;2258390.95;977727.98
T3_1714;T3;1714;VILA REAL;21976304.48;7739514;4414659.13;6543088.71;4073277.66;585999.81;907240.88;600423.34;376147.02;2497661.88;781380.76
T3_0816;T3;0816;VILA REAL DE SANTO ANTÓNIO;60977927.44;1943932.51;196419.28;7280173.57;4971565.88;1119448.8;347244.77;118066.84;723847.28;3042568.35;48514833.73
T3_0511;T3;0511;VILA VELHA DE RÓDÃO;5317059.06;3128112;199047.45;880716.26;303703.8;90182.58;36795.83;429019.56;21014.49;650587.94;458595.41
T3_0313;T3;0313;VILA VERDE;18716760.31;8904387;1920579.44;4211047.02;2209054.63;585258.65;799713.52;258109.61;358910.61;2663590.52;1017156.33
T3_0714;T3;0714;VILA VIÇOSA;5210561.5;2607237.5;97150.29;933952.99;525035.21;65771.65;127325.27;86689.37;129131.49;852710.06;719510.66
T3_0411;T3;0411;VIMIOSO;6079349.51;4244301;546659.62;418920.62;306761.06;22763.9;64512.12;0;24883.54;289391.19;580077.08
T3_0412;T3;0412;VINHAIS;8432723.44;6244884;438783.93;625643.15;418657.13;42822.39;104740.54;534.37;58888.72;802397.14;321015.22
T3_1823;T3;1823;VISEU;33951254.88;10838502;59685.56;16001187.42;8713601.79;1913437.08;1736503.74;2638917.16;998727.65;4870989.19;2180890.71
T3_0314;T3;0314;VIZELA;12529351.23;3115636;4006866.36;3006380.98;1760803.9;263119.94;349620.66;250284.27;382552.21;437973.44;1962494.45
T3_1824;T3;1824;VOUZELA;6210991.3;3650571;254586.49;817241.83;482156.61;40714.66;151760.25;62679.26;79931.05;1212648.01;275943.97
T4_1401;T4;1401;ABRANTES;23884396.14;10789430;1256269.27;6417240.83;3737337.24;531380.37;760108.76;1168079.93;220334.53;4182982.33;1238473.71
T4_0101;T4;0101;ÁGUEDA;25580351.5;8353467;2761443.21;8242521;4869948.07;688030.85;1098674.42;1104232.41;481635.25;3590298.3;2632621.99
T4_0901;T4;0901;AGUIAR DA BEIRA;6925784.49;4818337;127409.09;646207.06;470802.69;40185.46;111802.66;0;23416.25;1102453.43;231377.91
T4_0701;T4;0701;ALANDROAL;9172318.13;5679341.35;227303.13;636874.95;423330.76;76766.48;92039.46;30495.7;14242.55;1199498.79;1429299.91
T4_0102;T4;0102;ALBERGARIA-A-VELHA;13470418.34;5435965;68470.31;4444904.67;2554975.43;394621.5;585572.28;712020.29;197715.17;2835097.72;685980.64
T4_0801;T4;0801;ALBUFEIRA;79429526.81;5364905;30025.5;41813840.91;27634777.89;9173407.76;1383796.58;918058.76;2703799.92;22283221.09;9937534.31
T4_1501;T4;1501;ALCÁCER DO SAL;14612551.75;8864883;262551.69;3211804.9;1938334.27;595359.89;234662.78;130766.35;312681.61;1771132.65;502179.51
T4_1402;T4;1402;ALCANENA;11145159.72;4536708;226208.09;3663420.12;2069260.47;299517.17;332296.91;698581.23;263764.34;1763713.51;955110
T4_1001;T4;1001;ALCOBAÇA;29898972.95;10357100;764813.76;13207281.59;7779420.99;2653465.92;1396448.07;713237.98;664708.63;4041595.64;1528181.96
T4_1502;T4;1502;ALCOCHETE;12021053.21;2631985.49;268297.53;5605969.2;3266716.77;642761.76;418047.07;292289.33;986154.27;2910953.71;603847.28
T4_0802;T4;0802;ALCOUTIM;8319976.56;5605825;921750.36;345026.18;242699.26;40722.04;41973.85;0;19631.03;511343.69;936031.33
T4_1101;T4;1101;ALENQUER;24586585.74;6173185;2320483.01;9647578.11;5894264.49;1557827.01;930667.88;736500.69;528318.04;2668491.45;3776848.17
T4_0401;T4;0401;ALFÂNDEGA DA FÉ;8967967.65;5152683.09;426352.27;970568.57;469826.56;53986.7;81546.58;47926.28;317282.45;850302.52;1568061.2
T4_1701;T4;1701;ALIJÓ;26316573.32;7844065;48775.96;1861703.7;1182942.94;215178.61;196283.34;132356.16;134942.65;1555079.66;15006949
T4_0803;T4;0803;ALJEZUR;9034722.15;4157537;326057.38;2395876.2;1515830.15;572342.66;129293.08;0;178410.31;1897583.07;257668.5
T4_0201;T4;0201;ALJUSTREL;10081790.4;5314355;830520.11;1751022.03;760853.14;215256.1;194670.9;464197.48;116044.41;1195331.82;990561.44
T4_1503;T4;1503;ALMADA;76922783.53;15728950;1124909.6;42815997.41;29888182.4;4918636.73;3590067.99;2095668.07;2323442.22;11873176.39;5379750.13
T4_0902;T4;0902;ALMEIDA;11372289.79;6848784;1193414.16;1339194.26;678644.34;43063.38;140903.85;0;476582.69;1587269.92;403627.45
T4_1403;T4;1403;ALMEIRIM;13269510.09;5194867;353411.06;3752778.02;2474218.85;382953.6;461469.35;231414.5;202721.72;2087677.09;1880776.92
T4_0202;T4;0202;ALMODÔVAR;12309375.87;7646266;1887226.66;1011760.06;401637.14;189424.18;142983.17;47279.14;230436.43;958471.87;805651.28
T4_1404;T4;1404;ALPIARÇA;5734120.39;2990299;0;1020933.08;686253.34;57399.64;153919.53;59090.04;64270.53;775773.25;947115.06
T4_1201;T4;1201;ALTER DO CHÃO;5876245.93;3823053;344316.73;482179.09;293443.44;95783.32;56249.39;6238.21;30464.73;752666.16;474030.95
T4_1002;T4;1002;ALVAIÁZERE;7695159.3;4225717;706790.45;1018068.17;759621.71;37705.54;140507.7;0;80233.22;1387111.91;357471.77
T4_0203;T4;0203;ALVITO;4240368.35;2976080;53116.38;331260.56;192606.58;64551.83;39972.7;0;34129.45;443926.54;435984.87
