ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_0507;T1;0507;PENAMACOR;2179541.43;1127192.6;443007.06;521016.66;50354.41;112814.47;789993.04;23256;243592.49;46508.23;155322.04;321314.28;262355.79
T1_1812;T1;1812;PENEDONO;1168130.21;750244.98;339364.88;368833.35;0;42046.75;305713.62;0;123673.91;39410;34111.81;108517.9;112171.61
T1_0614;T1;0614;PENELA;1778890.29;952664.02;461260.42;323670.57;27614.8;140118.23;727999.63;0;351228.09;25779.68;300959.39;50032.47;98226.64
T1_1014;T1;1014;PENICHE;3958243.3;2747382.84;1423319.26;1021160.88;23424.39;279478.31;885286.87;0;289971.84;14235.01;81465.73;499614.29;325573.59
T1_1708;T1;1708;PESO DA RÉGUA;2883286.54;2044082.51;1001481.4;709907.21;73211.81;259482.09;693961.15;25694.74;73473.89;142153.6;317553.46;135085.46;145242.88
T1_0910;T1;0910;PINHEL;3031270.81;1940623.63;609091.61;863697.27;60047.26;407787.49;881827.46;42462.49;298134.54;242511.27;269786.98;28932.18;208819.72
T1_1015;T1;1015;POMBAL;7017887.7;4664410.99;1513723.55;2144946.54;31713.04;974027.86;1878937.27;35625;182852.51;303137.63;804510.87;552811.26;474539.44
T1_4203;T1;4203;PONTA DELGADA;6297038;4790537.63;2301480.99;1610536.41;118712.9;759807.33;1119224.68;40791.52;39541.4;28427.82;774291.23;236172.71;387275.69
T1_3105;T1;3105;PONTA DO SOL;1176307.49;832732.34;343738.96;365936.79;15663.4;107393.19;138802.12;0;0;7327.59;120665.22;10809.31;204773.03
T1_1606;T1;1606;PONTE DA BARCA;4198370.24;2335727.95;946962.94;923732.78;62688.73;402343.5;1624799.84;0;631173.43;93361.05;148526.58;751738.78;237842.45
T1_1607;T1;1607;PONTE DE LIMA;6439232.5;4294278.85;1749382.33;1396797.54;1782.74;1146316.24;1869847.68;371951.64;760233.31;276029.02;0;461633.71;275105.97
T1_1213;T1;1213;PONTE DE SOR;4047941.28;2117206.6;970328.27;799608.56;2673.18;344596.59;1857551.29;122862.72;934621.06;428194.44;209639.79;162233.28;73183.39
T1_1214;T1;1214;PORTALEGRE;2707619.54;1806660.94;1291332.26;436500.32;37527.79;41300.57;637371.84;105921.77;70779.71;61131.81;339417.71;60120.84;263586.76
