ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T1_1401;T1;1401;ABRANTES;4290524.57;2772438;47165.47;753771.35;124979.52;348217.43;167153.8;6415.43;107005.17;532168.35;184981.4
T1_0101;T1;0101;ÁGUEDA;9198073.4;2425773;4474238.55;761586.63;149737.1;260052.75;240189.1;0;111607.68;615383.24;921091.98
T1_0901;T1;0901;AGUIAR DA BEIRA;1493671.2;1206708;0;43688.7;3083.46;8198.93;17225.75;0;15180.56;233598.5;9676
T1_0701;T1;0701;ALANDROAL;2481888.56;1357305;216742.68;60291.04;7062.42;26230.53;19236.69;1574.59;6186.81;299205.92;548343.92
T1_0102;T1;0102;ALBERGARIA-A-VELHA;4570095.99;1427562;739370.43;367474.54;76420.81;124168.77;120967.89;0;45917.07;1997540.1;38148.92
T1_0801;T1;0801;ALBUFEIRA;9377193.79;1304712;466748.32;2164814.87;549433.05;847201.19;201954.04;35863.82;530362.77;4534735.7;906182.9
T1_1501;T1;1501;ALCÁCER DO SAL;3608440.54;2278713;239797.69;580396.43;27093.81;378481.98;54671.01;53534.67;66614.96;384087.01;125446.41
T1_1402;T1;1402;ALCANENA;2256892.49;1166271;9864.2;287175.47;28439.92;56892.34;65317.81;89246.57;47278.83;473852.75;319729.07
T1_1001;T1;1001;ALCOBAÇA;4980294.5;2726529;95800.54;1183404.48;126825.48;538116.44;297287.43;10051.71;211123.42;927414.84;47145.64
T1_1502;T1;1502;ALCOCHETE;1848016.36;665264;25928.62;635121.01;75841.07;288191.43;92608.28;32699.32;145780.91;465577.47;56125.26
T1_0802;T1;0802;ALCOUTIM;1828615.5;1440243;220755.89;23080.6;2833.93;4703.03;10254.62;0;5289.02;59977.51;84558.5
T1_1101;T1;1101;ALENQUER;3513541.77;1556664;0;781915.49;131065.98;349985.12;198795.31;5202.22;96866.86;222472.96;952489.32
T1_0401;T1;0401;ALFÂNDEGA DA FÉ;1981628.03;1332517;0;95095.43;2697.33;26824.95;10029.62;3378;52165.53;128962.19;425053.41
T1_1701;T1;1701;ALIJÓ;2009937.38;1505712;0;103808.9;10617.95;25512.35;41334.58;0;26344.02;377056.7;23359.78
T1_0803;T1;0803;ALJEZUR;1745300.63;1096965;122810.48;213504;29177.38;81688.58;32080.18;0;70557.86;292383.47;19637.68
T1_0201;T1;0201;ALJUSTREL;1987371.29;1366251;183951.94;127237.74;4282.42;48199.45;40479.45;1147.15;33129.27;222114.38;87816.23
T1_1503;T1;1503;ALMADA;10018349.68;4044468;251640.81;2809801.99;513820.94;1059846.41;794989.57;88058.74;353086.33;1854843.54;1057595.34
T1_0902;T1;0902;ALMEIDA;2238564.74;1760181;23906.27;152312.35;1303.34;11422.88;29477.56;0;110108.57;276995.94;25169.18
T1_1403;T1;1403;ALMEIRIM;2986603.06;1335441;253136.84;175075.5;27067.32;0;69775.67;2891.5;75341.01;380157.59;842792.13
T1_0202;T1;0202;ALMODÔVAR;3539109.15;1965771;1092418.81;111963.35;6284.27;13276.2;32874.58;0;59528.3;249626.18;119329.81
T1_1404;T1;1404;ALPIARÇA;1232065.48;798877;0;158946.88;26089.68;69969.27;31571.01;2753.6;28563.32;100711.97;173529.63
T1_1201;T1;1201;ALTER DO CHÃO;1284500.69;992262;0;48677.38;6568.99;24280.77;12660.34;227.71;4939.57;167115.19;76446.12
T1_1002;T1;1002;ALVAIÁZERE;1995355.33;1086354;261289.42;81389.02;5118.6;31977.53;33751.4;0;10541.49;513573.91;52748.98
T1_0203;T1;0203;ALVITO;1004996.39;765123;0;28221.31;2006.59;13034.02;9636.56;0;3544.14;131789.31;79862.77
T1_1115;T1;1115;AMADORA;9833665.27;4051614;618552.99;1179205.38;163831.3;263564.33;206483.82;164601.75;380724.18;2144811.01;1839481.89
T1_1301;T1;1301;AMARANTE;6385847.04;3440460;128312.38;955966.19;81409.89;332849.86;239563.94;0;302142.5;1285108.44;576000.03
T1_0301;T1;0301;AMARES;2755062.5;1331361;31611.25;281082.94;14767.63;105470.16;86947.86;0;73897.29;293899.77;817107.54
T1_0103;T1;0103;ANADIA;6314640.39;2007576;2392312.61;314846.51;15147.29;110124.59;145297.95;4838.06;39438.62;904357.63;695547.64
T1_4301;T1;4301;ANGRA DO HEROÍSMO;4505641.43;2491535;1394933.15;273356.97;18457.94;0;137155.59;0;117743.44;190746.65;155069.66
T1_1003;T1;1003;ANSIÃO;5832923.98;1224528;44734.68;208425.1;29404.45;24339.53;56696.93;0;97984.19;228349.95;4126886.25
T1_1601;T1;1601;ARCOS DE VALDEVEZ;5253237.24;2590998;1399331.7;291928.78;19062.02;68438.2;100172.12;0;104256.44;627840.42;343138.34
T1_0601;T1;0601;ARGANIL;2198000.61;1502742;169853.98;180704.8;16995.41;21664.41;49447.76;0;92597.22;330928.39;13771.44
T1_1801;T1;1801;ARMAMAR;2602177.63;1035104;0;128926.82;6683.1;31238;27085.23;2027.04;61893.45;176437.45;1261709.36
T1_0104;T1;0104;AROUCA;3999550.79;2015241;601030.49;218417.2;18798.88;71069.8;88426.66;5046.81;35075.05;671280.02;493582.08
T1_0702;T1;0702;ARRAIOLOS;1772892.28;1493364;0;56407.16;2798.41;15806.26;26399.57;2751.64;8651.28;140856.44;82264.68
T1_1202;T1;1202;ARRONCHES;1095596.13;629444;72872.94;158632.59;2081.34;145719;7608.39;0;3223.86;115844.6;118802
T1_1102;T1;1102;ARRUDA DOS VINHOS;3835005.81;844254;208387.35;187026.07;38184.71;24291.9;71814.56;2813.34;49921.56;548852.82;2046485.57
T1_0105;T1;0105;AVEIRO;7689520.61;2094522;502897.43;3163627.81;93071.26;1298199.78;459769.61;0;1312587.16;1847539.37;80934
T1_1203;T1;1203;AVIS;1963968.84;1298964;0;115640.61;3559.24;84596.8;17217.31;23.51;10243.75;126857.94;422506.29
T1_1103;T1;1103;AZAMBUJA;3136151.38;1227009;105091.21;904249.59;241595.37;287244.95;153014.17;24163.19;198231.91;546513.73;353287.85
T1_1302;T1;1302;BAIÃO;3802982.92;1834071;786528.31;264955.73;11543.82;38233.23;70378.78;0;144799.9;259781.89;657645.99
T1_0302;T1;0302;BARCELOS;12739338.59;5790642;848165.46;1856384.79;268445.57;419410.21;578357.03;0;590171.98;1083886.99;3160259.35
T1_0204;T1;0204;BARRANCOS;855962.85;766746;0;12493.14;388.83;1589.62;6125.06;0;4389.63;24232.96;52490.75
T1_1504;T1;1504;BARREIRO;7155248.07;2355252;138417.14;2001101.68;74881.39;352324.01;328172.6;15956.51;1229767.17;1992625.58;667851.67
T1_1004;T1;1004;BATALHA;1779816.57;964411;196895.21;355503.75;16869.13;54127.05;93863.39;5887.91;184756.27;188484.92;74521.69
T1_0205;T1;0205;BEJA;4951638.04;2611289;487040.71;711286.3;52110.43;322699.33;176813.05;3771.46;155892.03;950038.98;191983.05
T1_0501;T1;0501;BELMONTE;1166465.5;935910;20848.97;56915.17;3273.14;12634.86;26582.01;0;14425.16;139878.66;12912.7
T1_1405;T1;1405;BENAVENTE;2628815.48;1058202;19373.78;754273.41;97426.81;445315.09;149953.5;1559.53;60018.48;543903.65;253062.64
T1_1005;T1;1005;BOMBARRAL;2478691.3;886110;250512.71;319551.22;24812.75;126376.43;64651.72;332.34;103377.98;444044.92;578472.45
T1_0703;T1;0703;BORBA;2112713.61;877344;664375.63;68300.59;6229.02;3513.48;27685.15;921.43;29951.51;234104;268589.39
T1_1702;T1;1702;BOTICAS;2000514.26;1352481;146755.64;65588.8;2284.66;3066.49;15714.27;0;44523.38;332439.56;103249.26
T1_0303;T1;0303;BRAGA;24263032.73;5036649;3548522.69;4529090.44;324900.62;2140007.93;923215.09;168882.01;972084.79;4587697.71;6561072.89
T1_0402;T1;0402;BRAGANÇA;8279644.4;3382959;1400586.55;858627.3;36248.94;262104.67;167041.09;0;393232.6;2389707.74;247763.81
T1_0304;T1;0304;CABECEIRAS DE BASTO;3027691.13;1637117;531915.32;301562.96;17539.9;88873.91;68445.99;3396.29;123306.87;201580.25;355515.6
T1_1104;T1;1104;CADAVAL;1917130.71;1124957;27454.69;214454.92;24283.78;94957.94;62003.45;0;33209.75;494896.77;55367.33
T1_1006;T1;1006;CALDAS DA RAINHA;3562334.42;1576029;199321.95;1046740.09;90653.11;521300.53;271391.48;3047.11;160347.86;365991.18;374252.2
T1_3101;T1;3101;CALHETA (MADEIRA);4916382.04;1527384;104116.88;157210.57;13343.5;70834.72;52085.9;0;20946.45;162978.5;2964692.09
T1_4501;T1;4501;CALHETA (SÃO JORGE);879254.79;753710;0;29544.83;2764.73;4758.61;16848.81;205.55;4967.13;85025.19;10974.77
T1_3102;T1;3102;CÂMARA DE LOBOS;6355201.16;1818504;0;282831.36;55744.34;49191;112058.2;0;65837.82;114930.31;4138935.49
T1_1602;T1;1602;CAMINHA;3652812.95;1513845;539699.59;423911.02;58838.09;189254.31;98032.16;617.27;77169.19;1056568.45;118788.89
T1_1204;T1;1204;CAMPO MAIOR;1607939.03;1053741;0;198628.17;5084.68;60573.82;24847.24;0;108122.43;221384.48;134185.38
T1_0602;T1;0602;CANTANHEDE;3325738.11;2197866;305581.05;458440.95;42710.21;128417.55;171274.98;7310.34;108727.87;269427.74;94422.37
T1_0403;T1;0403;CARRAZEDA DE ANSIÃES;2266769.03;1441569;23509.22;86744.5;2480.74;50248.2;22732.55;0;11283.01;91941.95;623004.36
T1_1802;T1;1802;CARREGAL DO SAL;1278436.21;956481;0;153838.49;9744.85;31799.39;40961.2;0;71333.05;54797.94;113318.78
T1_1406;T1;1406;CARTAXO;1927657.2;1176426;53767.52;303910.15;50199.28;73039.32;114049.61;26567.19;40054.75;99266.69;294286.84
T1_1105;T1;1105;CASCAIS;26439288.16;3445035;9263.18;11500295.38;1618435.23;5033051.45;1362015.68;0;3486793.02;2678472.63;8806221.97
T1_1007;T1;1007;CASTANHEIRA DE PÊRA;886478.17;727059;0;68098.25;12592.4;13086.09;0;902.38;41517.38;81972.88;9348.04
T1_0502;T1;0502;CASTELO BRANCO;8663724.41;3926598;2674526.29;610709.45;92223.76;239957.43;139810.02;0;138718.24;517538.55;934352.12
