ldk;codigoperiodo;codigoine;dscautarquia;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas
T3_1401;T3;1401;ABRANTES;17734393;8508429;563178;4991178.04;2995737.08;545606.76;573502.84;698338.48;177992.88;3031969.57;639638.39
T3_0101;T3;0101;ÁGUEDA;21061389.3;6578649.01;3491848.4;6903886.66;3764253.74;761821.34;859881.85;1142358.83;375570.9;2056934.1;2030071.13
T3_0901;T3;0901;AGUIAR DA BEIRA;5389211.72;3756204;181580.04;555294.93;383337.39;63208.41;79917.27;0;28831.86;763917.01;132215.74
T3_0701;T3;0701;ALANDROAL;6492797.48;4178954.43;406325.07;608153.14;425032.92;77384.77;68966.85;26319.1;10449.5;754638.83;544726.01
T3_0102;T3;0102;ALBERGARIA-A-VELHA;9817411.56;4333428;255038.07;3491973.78;1906425.74;391181.89;455258.14;558105.16;181002.85;1362034.56;374937.15
T3_0801;T3;0801;ALBUFEIRA;63349550.48;3977064;271072.44;39103765.84;20329349.34;15080670.19;1036216.73;869375.63;1788153.95;17795045.42;2202602.78
T3_1501;T3;1501;ALCÁCER DO SAL;12592947.96;7003116;827394.5;2696025.1;1059441.72;1167612.37;180574.2;739.85;287656.96;1781341.6;285070.76
T3_1402;T3;1402;ALCANENA;14816291.53;3594922.17;2237931.76;2402336.65;1492514.42;188401.43;239938.8;286829.48;194652.52;1300319.66;5280781.29
T3_1001;T3;1001;ALCOBAÇA;21361216.55;8203068;397453.36;9194087.26;5576729.38;1330844.83;1092709.53;640766.14;553037.38;3109111.54;457496.39
T3_1502;T3;1502;ALCOCHETE;10148482.21;2120078.51;4499.29;5575278.29;2545426.71;1049770.61;270715.47;577164.62;1132200.88;2227139.68;221486.44
T3_0802;T3;0802;ALCOUTIM;6042173.83;4399209;341548.42;278682.98;181218.67;39553.54;32650.69;0;25260.08;315414.93;707318.5
T3_1101;T3;1101;ALENQUER;17275890.34;4929786;52589.22;6581580.01;4284654.94;1036310.91;713873.2;96656.59;450084.37;2387439.46;3324495.65
T3_0401;T3;0401;ALFÂNDEGA DA FÉ;18588138.22;4097755.08;814608.54;843906.45;390599.26;58208.33;61744.83;40186.01;293168.02;460778.11;12371090.04
T3_1701;T3;1701;ALIJÓ;9847442.99;5005817.48;211633.16;1378440.93;957334.6;132797.96;157435.76;80546.13;50326.48;1288162.9;1963388.52
T3_0803;T3;0803;ALJEZUR;7291512.72;3286314;197256.89;2240475.85;1241467.39;770130.38;95808.23;0;133069.85;1421597.8;145868.18
